"","V1"
"haiidx_3","occurrence line number (index)"
"haiidx_4","occurrence line number (index)"
"haiidx_5","occurrence line number (index)"
"hai1_1","accident type"
"hai1_2","accident type"
"hai1_3","accident type"
"hai1_4","accident type"
"hai1_5","accident type"
"hai2_1","vehicle involved in traffic accident"
"hai2_2","vehicle involved in traffic accident"
"hai2_3","vehicle involved in traffic accident"
"hai2_4","vehicle involved in traffic accident"
"hai2_5","vehicle involved in traffic accident"
"hai3_1","type of accident for accidents other than traffic"
"hai3_2","type of accident for accidents other than traffic"
"hai3_3","type of accident for accidents other than traffic"
"hai3_4","type of accident for accidents other than traffic"
"hai3_5","type of accident for accidents other than traffic"
"hai4_1","how the accident happened for other than traffic"
"hai4_2","how the accident happened for other than traffic"
"hai4_3","how the accident happened for other than traffic"
"hai4_4","how the accident happened for other than traffic"
"hai4_5","how the accident happened for other than traffic"
"hai5_1","household member still alive as a result of accident"
"hai5_2","household member still alive as a result of accident"
"hai5_3","household member still alive as a result of accident"
"hai5_4","household member still alive as a result of accident"
"hai5_5","household member still alive as a result of accident"
"hai6_1","sex of household member involved in accident"
"hai6_2","sex of household member involved in accident"
"hai6_3","sex of household member involved in accident"
"hai6_4","sex of household member involved in accident"
"hai6_5","sex of household member involved in accident"
"hai7_1","age of household member at death"
"hai7_2","age of household member at death"
"hai7_3","age of household member at death"
"hai7_4","age of household member at death"
"hai7_5","age of household member at death"
"hai8_1","death related to the accident"
"hai8_2","death related to the accident"
"hai8_3","death related to the accident"
"hai8_4","death related to the accident"
"hai8_5","death related to the accident"
"hai9a_1","injures resulting from accident: cut/bite/open wound"
"hai9a_2","injures resulting from accident: cut/bite/open wound"
"hai9a_3","injures resulting from accident: cut/bite/open wound"
"hai9a_4","injures resulting from accident: cut/bite/open wound"
"hai9a_5","injures resulting from accident: cut/bite/open wound"
"hai9b_1","injures resulting from accident: broken bone"
"hai9b_2","injures resulting from accident: broken bone"
"hai9b_3","injures resulting from accident: broken bone"
"hai9b_4","injures resulting from accident: broken bone"
"hai9b_5","injures resulting from accident: broken bone"
"hai9c_1","injures resulting from accident: burn"
"hai9c_2","injures resulting from accident: burn"
"hai9c_3","injures resulting from accident: burn"
"hai9c_4","injures resulting from accident: burn"
"hai9c_5","injures resulting from accident: burn"
"hai9d_1","injures resulting from accident: poisoning"
"hai9d_2","injures resulting from accident: poisoning"
"hai9d_3","injures resulting from accident: poisoning"
"hai9d_4","injures resulting from accident: poisoning"
"hai9d_5","injures resulting from accident: poisoning"
"hai9e_1","injures resulting from accident: head injury"
"hai9e_2","injures resulting from accident: head injury"
"hai9e_3","injures resulting from accident: head injury"
"hai9e_4","injures resulting from accident: head injury"
"hai9e_5","injures resulting from accident: head injury"
"hai9f_1","injures resulting from accident: internal injury"
"hai9f_2","injures resulting from accident: internal injury"
"hai9f_3","injures resulting from accident: internal injury"
"hai9f_4","injures resulting from accident: internal injury"
"hai9f_5","injures resulting from accident: internal injury"
"hai9g_1","injures resulting from accident: suffocation"
"hai9g_2","injures resulting from accident: suffocation"
"hai9g_3","injures resulting from accident: suffocation"
"hai9g_4","injures resulting from accident: suffocation"
"hai9g_5","injures resulting from accident: suffocation"
"hai9h_1","injures resulting from accident: spinal curd injury - cs"
"hai9h_2","injures resulting from accident: spinal curd injury - cs"
"hai9h_3","injures resulting from accident: spinal curd injury - cs"
"hai9h_4","injures resulting from accident: spinal curd injury - cs"
"hai9h_5","injures resulting from accident: spinal curd injury - cs"
"hai9i_1","na - injures resulting from accident: cs"
"hai9i_2","na - injures resulting from accident: cs"
"hai9i_3","na - injures resulting from accident: cs"
"hai9i_4","na - injures resulting from accident: cs"
"hai9i_5","na - injures resulting from accident: cs"
"hai9j_1","na - injures resulting from accident: cs"
"hai9j_2","na - injures resulting from accident: cs"
"hai9j_3","na - injures resulting from accident: cs"
"hai9j_4","na - injures resulting from accident: cs"
"hai9j_5","na - injures resulting from accident: cs"
"hai9k_1","na - injures resulting from accident: cs"
"hai9k_2","na - injures resulting from accident: cs"
"hai9k_3","na - injures resulting from accident: cs"
"hai9k_4","na - injures resulting from accident: cs"
"hai9k_5","na - injures resulting from accident: cs"
"hai9l_1","na - injures resulting from accident: cs"
"hai9l_2","na - injures resulting from accident: cs"
"hai9l_3","na - injures resulting from accident: cs"
"hai9l_4","na - injures resulting from accident: cs"
"hai9l_5","na - injures resulting from accident: cs"
"hai9m_1","na - injures resulting from accident: cs"
"hai9m_2","na - injures resulting from accident: cs"
"hai9m_3","na - injures resulting from accident: cs"
"hai9m_4","na - injures resulting from accident: cs"
"hai9m_5","na - injures resulting from accident: cs"
"hai9n_1","na - injures resulting from accident: cs"
"hai9n_2","na - injures resulting from accident: cs"
"hai9n_3","na - injures resulting from accident: cs"
"hai9n_4","na - injures resulting from accident: cs"
"hai9n_5","na - injures resulting from accident: cs"
"hai9x_1","injures resulting from accident: other"
"hai9x_2","injures resulting from accident: other"
"hai9x_3","injures resulting from accident: other"
"hai9x_4","injures resulting from accident: other"
"hai9x_5","injures resulting from accident: other"
"hai9z_1","injures resulting from accident: don't know"
"hai9z_2","injures resulting from accident: don't know"
"hai9z_3","injures resulting from accident: don't know"
"hai9z_4","injures resulting from accident: don't know"
"hai9z_5","injures resulting from accident: don't know"
"hai10_1","household line number of member involved in accident"
"hai10_2","household line number of member involved in accident"
"hai10_3","household line number of member involved in accident"
"hai10_4","household line number of member involved in accident"
"hai10_5","household line number of member involved in accident"
"hai11_1","current age of household member involved in accident"
"hai11_2","current age of household member involved in accident"
"hai11_3","current age of household member involved in accident"
"hai11_4","current age of household member involved in accident"
"hai11_5","current age of household member involved in accident"
"hai12_1","household member continues to have health problems"
"hai12_2","household member continues to have health problems"
"hai12_3","household member continues to have health problems"
"hai12_4","household member continues to have health problems"
"hai12_5","household member continues to have health problems"
"hai13a_1","problem still has from accident: paralyzed"
"hai13a_2","problem still has from accident: paralyzed"
"hai13a_3","problem still has from accident: paralyzed"
"hai13a_4","problem still has from accident: paralyzed"
"hai13a_5","problem still has from accident: paralyzed"
"hai13b_1","problem still has from accident: brain damage"
"hai13b_2","problem still has from accident: brain damage"
"hai13b_3","problem still has from accident: brain damage"
"hai13b_4","problem still has from accident: brain damage"
"hai13b_5","problem still has from accident: brain damage"
"hai13c_1","problem still has from accident: disfigurement"
"hai13c_2","problem still has from accident: disfigurement"
"hai13c_3","problem still has from accident: disfigurement"
"hai13c_4","problem still has from accident: disfigurement"
"hai13c_5","problem still has from accident: disfigurement"
"hai13d_1","problem still has from accident: loss of limb"
"hai13d_2","problem still has from accident: loss of limb"
"hai13d_3","problem still has from accident: loss of limb"
"hai13d_4","problem still has from accident: loss of limb"
"hai13d_5","problem still has from accident: loss of limb"
"hai13e_1","problem still has from accident: loss of limb function"
"hai13e_2","problem still has from accident: loss of limb function"
"hai13e_3","problem still has from accident: loss of limb function"
"hai13e_4","problem still has from accident: loss of limb function"
"hai13e_5","problem still has from accident: loss of limb function"
"hai13f_1","problem still has from accident: loss of eyesight"
"hai13f_2","problem still has from accident: loss of eyesight"
"hai13f_3","problem still has from accident: loss of eyesight"
"hai13f_4","problem still has from accident: loss of eyesight"
"hai13f_5","problem still has from accident: loss of eyesight"
"hai13g_1","problem still has from accident: loss of hearing"
"hai13g_2","problem still has from accident: loss of hearing"
"hai13g_3","problem still has from accident: loss of hearing"
"hai13g_4","problem still has from accident: loss of hearing"
"hai13g_5","problem still has from accident: loss of hearing"
"hai13h_1","problem still has from accident: chronic pain"
"hai13h_2","problem still has from accident: chronic pain"
"hai13h_3","problem still has from accident: chronic pain"
"hai13h_4","problem still has from accident: chronic pain"
"hai13h_5","problem still has from accident: chronic pain"
"hai13i_1","problem still has from accident: emotional trauma"
"hai13i_2","problem still has from accident: emotional trauma"
"hai13i_3","problem still has from accident: emotional trauma"
"hai13i_4","problem still has from accident: emotional trauma"
"hai13i_5","problem still has from accident: emotional trauma"
"hai13j_1","na - problem still has from accident: cs"
"hai13j_2","na - problem still has from accident: cs"
"hai13j_3","na - problem still has from accident: cs"
"hai13j_4","na - problem still has from accident: cs"
"hai13j_5","na - problem still has from accident: cs"
"hai13k_1","na - problem still has from accident: cs"
"hai13k_2","na - problem still has from accident: cs"
"hai13k_3","na - problem still has from accident: cs"
"hai13k_4","na - problem still has from accident: cs"
"hai13k_5","na - problem still has from accident: cs"
"hai13l_1","na - problem still has from accident: cs"
"hai13l_2","na - problem still has from accident: cs"
"hai13l_3","na - problem still has from accident: cs"
"hai13l_4","na - problem still has from accident: cs"
"hai13l_5","na - problem still has from accident: cs"
"hai13m_1","na - problem still has from accident: cs"
"hai13m_2","na - problem still has from accident: cs"
"hai13m_3","na - problem still has from accident: cs"
"hai13m_4","na - problem still has from accident: cs"
"hai13m_5","na - problem still has from accident: cs"
"hai13n_1","na - problem still has from accident: cs"
"hai13n_2","na - problem still has from accident: cs"
"hai13n_3","na - problem still has from accident: cs"
"hai13n_4","na - problem still has from accident: cs"
"hai13n_5","na - problem still has from accident: cs"
"hai13o_1","na - problem still has from accident: cs"
"hai13o_2","na - problem still has from accident: cs"
"hai13o_3","na - problem still has from accident: cs"
"hai13o_4","na - problem still has from accident: cs"
"hai13o_5","na - problem still has from accident: cs"
"hai13p_1","na - problem still has from accident: cs"
"hai13p_2","na - problem still has from accident: cs"
"hai13p_3","na - problem still has from accident: cs"
"hai13p_4","na - problem still has from accident: cs"
"hai13p_5","na - problem still has from accident: cs"
"hai13x_1","problem still has from accident: other"
"hai13x_2","problem still has from accident: other"
"hai13x_3","problem still has from accident: other"
"hai13x_4","problem still has from accident: other"
"hai13x_5","problem still has from accident: other"
"hai13z_1","problem still has from accident: don't know"
"hai13z_2","problem still has from accident: don't know"
"hai13z_3","problem still has from accident: don't know"
"hai13z_4","problem still has from accident: don't know"
"hai13z_5","problem still has from accident: don't know"
